group1,group2,meandiff,lower,upper,p_adj,reject,cohens_d,sphericity,gg_epsilon,df_resid_used,target,n_cycles
CLOOME,PhysChem,0.0022138653961462085,-0.012275295834002197,0.016703026626294616,0.9,False,0.12107121754033441,True,0.6868255424029426,168.0,is_active_not_toxic,25
CellCLIP,CellCount,-0.062322447201321185,-0.07681160843146959,-0.04783328597117278,0.001,True,-3.7773423801208037,True,0.6868255424029426,168.0,is_active_not_toxic,25
CellCLIP,LogP,0.010350931599004798,-0.004138229631143608,0.024840092829153206,0.3624371960112054,False,0.6479928084779474,True,0.6868255424029426,168.0,is_active_not_toxic,25
CellCLIP,MLP_CLOOME_arch,0.00899768842102111,-0.005491472809127295,0.023486849651169518,0.5418035224646471,False,0.4826597183782433,True,0.6868255424029426,168.0,is_active_not_toxic,25
CellCLIP,MorganFP,0.038685331051732885,0.024196169821584478,0.05317449228188129,0.001,True,2.207897881931486,True,0.6868255424029426,168.0,is_active_not_toxic,25
CellCLIP,Morphology,-0.20021594389009323,-0.21470510512024163,-0.18572678265994483,0.001,True,-11.233135075158687,True,0.6868255424029426,168.0,is_active_not_toxic,25
CellCLIP,PhysChem,-0.005123021215848955,-0.019612182445997363,0.00936614001429945,0.9,False,-0.2672280099042534,True,0.6868255424029426,168.0,is_active_not_toxic,25
CellCount,LogP,0.07267337880032598,0.058184217570177575,0.08716254003047438,0.001,True,4.877003349629367,True,0.6868255424029426,168.0,is_active_not_toxic,25
CellCount,MLP_CLOOME_arch,0.0713201356223423,0.05683097439219389,0.0858092968524907,0.001,True,4.0222454974039445,True,0.6868255424029426,168.0,is_active_not_toxic,25
CellCount,MorganFP,0.10100777825305407,0.08651861702290567,0.11549693948320247,0.001,True,6.103431387183572,True,0.6868255424029426,168.0,is_active_not_toxic,25
CellCount,Morphology,-0.13789349668877204,-0.15238265791892044,-0.12340433545862364,0.001,True,-8.17431237330464,True,0.6868255424029426,168.0,is_active_not_toxic,25
CellCount,PhysChem,0.05719942598547223,0.04271026475532382,0.07168858721562063,0.001,True,3.127895942849466,True,0.6868255424029426,168.0,is_active_not_toxic,25
LogP,MLP_CLOOME_arch,-0.0013532431779836873,-0.015842404408132095,0.013135918052164719,0.9,False,-0.07847701596150608,True,0.6868255424029426,168.0,is_active_not_toxic,25
LogP,MorganFP,0.028334399452728087,0.013845238222579681,0.042823560682876495,0.001,True,1.7680479674325098,True,0.6868255424029426,168.0,is_active_not_toxic,25
LogP,Morphology,-0.21056687548909803,-0.22505603671924643,-0.19607771425894963,0.001,True,-12.874117009895294,True,0.6868255424029426,168.0,is_active_not_toxic,25
LogP,PhysChem,-0.015473952814853753,-0.02996311404500216,-0.0009847915847053471,0.027220903972359545,True,-0.868616962173642,True,0.6868255424029426,168.0,is_active_not_toxic,25
MLP_CLOOME_arch,MorganFP,0.029687642630711775,0.015198481400563369,0.04417680386086018,0.001,True,1.5887264262375145,True,0.6868255424029426,168.0,is_active_not_toxic,25
MLP_CLOOME_arch,Morphology,-0.20921363231111434,-0.22370279354126274,-0.19472447108096594,0.001,True,-11.028522532658473,True,0.6868255424029426,168.0,is_active_not_toxic,25
MLP_CLOOME_arch,PhysChem,-0.014120709636870066,-0.028609870867018473,0.0003684515932783402,0.06215152625348208,False,-0.6976172534964548,True,0.6868255424029426,168.0,is_active_not_toxic,25
MorganFP,Morphology,-0.23890127494182611,-0.25339043617197454,-0.2244121137116777,0.001,True,-13.368632367010157,True,0.6868255424029426,168.0,is_active_not_toxic,25
MorganFP,PhysChem,-0.04380835226758184,-0.05829751349773025,-0.029319191037433433,0.001,True,-2.279986880198612,True,0.6868255424029426,168.0,is_active_not_toxic,25
Morphology,PhysChem,0.19509292267424427,0.18060376144409587,0.20958208390439267,0.001,True,10.00968959041656,True,0.6868255424029426,168.0,is_active_not_toxic,25
