split_type,target,representation,repeat,fold,cv_cycle,auc
chemical,is_active,MorganFP,2,4,2_4,0.7259518132197224
chemical,is_active,CLOOME,2,4,2_4,0.6409525477742997
chemical,is_active,CellCLIP,2,4,2_4,0.7309665608154685
chemical,is_active,CellCount,2,4,2_4,0.8307247228469077
chemical,is_active,MLP_CLOOME_arch,2,4,2_4,0.7187418775215
chemical,is_active_and_toxic,Morphology,2,0,2_0,0.9833227747861895
chemical,is_active_and_toxic,PhysChem,2,0,2_0,0.8398717136522014
chemical,is_active_and_toxic,LogP,2,0,2_0,0.6670375356350966
chemical,is_active_and_toxic,MorganFP,2,0,2_0,0.7264095660437123
chemical,is_active_and_toxic,CLOOME,2,0,2_0,0.6902597402597402
chemical,is_active_and_toxic,CellCLIP,2,0,2_0,0.7737012987012987
chemical,is_active_and_toxic,CellCount,2,0,2_0,0.9845343680709534
chemical,is_active_and_toxic,MLP_CLOOME_arch,2,0,2_0,0.7940766550522648
chemical,is_active_and_toxic,Morphology,2,1,2_1,0.9791871689105718
chemical,is_active_and_toxic,PhysChem,2,1,2_1,0.7976646635538154
chemical,is_active_and_toxic,LogP,2,1,2_1,0.6418476098745786
chemical,is_active_and_toxic,MorganFP,2,1,2_1,0.76881146310992
chemical,is_active_and_toxic,CLOOME,2,1,2_1,0.6681742359206293
chemical,is_active_and_toxic,CellCLIP,2,1,2_1,0.7474612114994031
chemical,is_active_and_toxic,CellCount,2,1,2_1,0.9885745793114038
chemical,is_active_and_toxic,MLP_CLOOME_arch,2,1,2_1,0.7684624887455767
chemical,is_active_and_toxic,Morphology,2,2,2_2,0.9786607799852833
chemical,is_active_and_toxic,PhysChem,2,2,2_2,0.8016515411658899
chemical,is_active_and_toxic,LogP,2,2,2_2,0.5888316572643283
chemical,is_active_and_toxic,MorganFP,2,2,2_2,0.7849889624724061
chemical,is_active_and_toxic,CLOOME,2,2,2_2,0.6077017414765759
chemical,is_active_and_toxic,CellCLIP,2,2,2_2,0.721600850298422
chemical,is_active_and_toxic,CellCount,2,2,2_2,0.9839179134984875
chemical,is_active_and_toxic,MLP_CLOOME_arch,2,2,2_2,0.7384596517046849
chemical,is_active_and_toxic,Morphology,2,3,2_3,0.981907013396375
chemical,is_active_and_toxic,PhysChem,2,3,2_3,0.828542159180457
chemical,is_active_and_toxic,LogP,2,3,2_3,0.630130023640662
chemical,is_active_and_toxic,MorganFP,2,3,2_3,0.7221985815602837
chemical,is_active_and_toxic,CLOOME,2,3,2_3,0.6790307328605201
chemical,is_active_and_toxic,CellCLIP,2,3,2_3,0.7435697399527188
chemical,is_active_and_toxic,CellCount,2,3,2_3,0.9861859732072498
chemical,is_active_and_toxic,MLP_CLOOME_arch,2,3,2_3,0.7674389282899922
chemical,is_active_and_toxic,Morphology,2,4,2_4,0.9622396590138527
chemical,is_active_and_toxic,PhysChem,2,4,2_4,0.7715005327908554
chemical,is_active_and_toxic,LogP,2,4,2_4,0.6733895185508089
chemical,is_active_and_toxic,MorganFP,2,4,2_4,0.7802625205851013
chemical,is_active_and_toxic,CLOOME,2,4,2_4,0.6466482611643902
chemical,is_active_and_toxic,CellCLIP,2,4,2_4,0.7290710064903613
chemical,is_active_and_toxic,CellCount,2,4,2_4,0.9854209047757435
chemical,is_active_and_toxic,MLP_CLOOME_arch,2,4,2_4,0.780572507991863
chemical,is_active_not_toxic,Morphology,2,0,2_0,0.771321883818235
