group1,group2,meandiff,lower,upper,p_adj,reject,cohens_d,sphericity,gg_epsilon,df_resid_used,split_type,target,n_cycles
CellCLIP,CellCount,-0.2384610731189616,-0.25455741577897073,-0.22236473045895247,0.001,True,-12.701582923348107,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CellCLIP,LogP,0.1062721792946183,0.09017583663460918,0.12236852195462741,0.001,True,3.7363785150746645,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CellCLIP,MLP_CLOOME_arch,-0.026040272498625172,-0.042136615158634295,-0.009943929838616049,0.001,True,-1.0690730049438502,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CellCLIP,MorganFP,-0.028423263419763867,-0.04451960607977299,-0.012326920759754743,0.001,True,-1.1730358619151597,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CellCLIP,Morphology,-0.23082821148427746,-0.24692455414428657,-0.21473186882426834,0.001,True,-12.057037470913,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CellCLIP,PhysChem,-0.07269504934241089,-0.08879139200242,-0.056598706682401766,0.001,True,-3.1064856051780683,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CellCount,LogP,0.3447332524135799,0.32863690975357074,0.360829595073589,0.001,True,15.979249592514098,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CellCount,MLP_CLOOME_arch,0.21242080062033641,0.1963244579603273,0.22851714328034553,0.001,True,13.441326112944118,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CellCount,MorganFP,0.21003780969919772,0.1939414670391886,0.22613415235920684,0.001,True,13.458220938773907,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CellCount,Morphology,0.007632861634684129,-0.008463481025324994,0.023729204294693253,0.7995741766213593,False,1.5926403855002484,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
CellCount,PhysChem,0.1657660237765507,0.14966968111654158,0.1818623664365598,0.001,True,11.60425624551528,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
LogP,MLP_CLOOME_arch,-0.13231245179324347,-0.14840879445325258,-0.11621610913323435,0.001,True,-4.9787133765269855,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
LogP,MorganFP,-0.13469544271438216,-0.15079178537439128,-0.11859910005437305,0.001,True,-5.090720629772831,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
LogP,Morphology,-0.33710039077889575,-0.3531967334389049,-0.3210040481188866,0.001,True,-15.39478979099496,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
LogP,PhysChem,-0.17896722863702919,-0.1950635712970383,-0.16287088597702007,0.001,True,-6.963278441107663,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
MLP_CLOOME_arch,MorganFP,-0.0023829909211386946,-0.018479333581147818,0.013713351738870429,0.9,False,-0.10827273568898105,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
MLP_CLOOME_arch,Morphology,-0.20478793898565228,-0.2208842816456614,-0.18869159632564317,0.001,True,-12.608510603192233,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
MLP_CLOOME_arch,PhysChem,-0.04665477684378572,-0.06275111950379483,-0.030558434183776594,0.001,True,-2.2119111515200207,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
MorganFP,Morphology,-0.2024049480645136,-0.2185012907245227,-0.18630860540450447,0.001,True,-12.61049503645804,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
MorganFP,PhysChem,-0.04427178592264702,-0.060368128582656146,-0.0281754432626379,0.001,True,-2.1136764887696757,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
Morphology,PhysChem,0.15813316214186657,0.14203681948185745,0.17422950480187568,0.001,True,10.70741119027271,False,0.5928792652128886,99.60371655576529,plate,is_active_and_toxic,25
